model,temperature,score
meta-llama-Llama-3.1-8B,0.6,0.5912037037037037
meta-llama-Llama-3.1-8B,0.7,0.6409722222222223
meta-llama-Llama-3.1-8B,0.8,0.6569444444444444
meta-llama-Llama-3.1-8B,0.9,0.7185185185185186
meta-llama-Llama-3.1-8B,1.0,0.7423611111111111
meta-llama-Llama-3.1-8B,1.1,0.8011574074074074
meta-llama-Llama-3.1-8B,1.2,0.8708333333333333
meta-llama-Llama-3.1-8B,1.4,0.9719907407407408
meta-llama-Llama-3.1-8B-Instruct,0.6,0.5196759259259259
meta-llama-Llama-3.1-8B-Instruct,0.7,0.5768518518518518
meta-llama-Llama-3.1-8B-Instruct,0.8,0.5655092592592592
meta-llama-Llama-3.1-8B-Instruct,0.9,0.6460648148148148
meta-llama-Llama-3.1-8B-Instruct,1.0,0.7662037037037037
meta-llama-Llama-3.1-8B-Instruct,1.1,0.7824074074074074
meta-llama-Llama-3.1-8B-Instruct,1.2,0.9076388888888889
meta-llama-Llama-3.1-8B-Instruct,1.4,0.9900462962962963
meta-llama-Llama-3.1-70B,0.6,0.66875
meta-llama-Llama-3.1-70B,0.7,0.6793981481481481
meta-llama-Llama-3.1-70B,0.8,0.7069444444444445
meta-llama-Llama-3.1-70B,0.9,0.7229166666666667
meta-llama-Llama-3.1-70B,1.0,0.6
meta-llama-Llama-3.1-70B,1.2,0.9488425925925926
meta-llama-Llama-3.1-70B,1.4,0.9803240740740741
meta-llama-Llama-3.1-70B-Instruct,0.6,0.5993055555555555
meta-llama-Llama-3.1-70B-Instruct,0.7,0.637962962962963
meta-llama-Llama-3.1-70B-Instruct,0.8,0.6710648148148148
meta-llama-Llama-3.1-70B-Instruct,0.9,0.6710648148148148
meta-llama-Llama-3.1-70B-Instruct,1.0,0.6983796296296296
meta-llama-Llama-3.1-70B-Instruct,1.1,0.7398148148148148
meta-llama-Llama-3.1-70B-Instruct,1.2,0.8219907407407407
meta-llama-Llama-3.1-70B-Instruct,1.4,0.9567129629629629
allenai-Llama-3.1-Tulu-3-8B-SFT,0.6,0.7965277777777777
allenai-Llama-3.1-Tulu-3-8B-SFT,0.7,0.8064814814814815
allenai-Llama-3.1-Tulu-3-8B-SFT,0.8,0.7969907407407407
allenai-Llama-3.1-Tulu-3-8B-SFT,0.9,0.8284722222222223
allenai-Llama-3.1-Tulu-3-8B-SFT,1.0,0.8074074074074075
allenai-Llama-3.1-Tulu-3-8B-SFT,1.1,0.8851851851851852
allenai-Llama-3.1-Tulu-3-8B-SFT,1.2,0.9539351851851852
allenai-Llama-3.1-Tulu-3-8B-SFT,1.4,0.9854166666666667
allenai-Llama-3.1-Tulu-3-70B-SFT,0.6,0.6752314814814815
allenai-Llama-3.1-Tulu-3-70B-SFT,0.7,0.6763888888888889
allenai-Llama-3.1-Tulu-3-70B-SFT,0.8,0.7039351851851852
allenai-Llama-3.1-Tulu-3-70B-SFT,0.9,0.7266203703703704
allenai-Llama-3.1-Tulu-3-70B-SFT,1.0,0.7326388888888888
allenai-Llama-3.1-Tulu-3-70B-SFT,1.1,0.794675925925926
allenai-Llama-3.1-Tulu-3-70B-SFT,1.2,0.8976851851851851
allenai-Llama-3.1-Tulu-3-70B-SFT,1.4,0.9916666666666667
